Generation,Time A,Time B,Time C,Distance
1,51.92,212.56,378.89,285.53
2,16.76,87.13,399.39,252.79
3,19.21,62.24,343.16,244.15
4,9.56,54.79,348.43,232.49
5,7.44,39.96,300.85,226.32
6,0.01,51.58,260.42,199.62
7,0.29,46.84,218.58,200.49
8,1.19,46.45,180.65,222.16
9,2.39,40.04,170.44,236.91
10,3.7,27.28,146.78,244.0

1,59.8,165.84,463.62,311.19
2,25.35,111.52,349.89,274.8
3,12.37,92.58,343.66,252.22
4,1.63,90.51,314.93,250.52
5,0.0,67.55,321.97,241.38
6,0.0,43.24,243.86,246.19
7,0.0,43.57,225.45,264.73
8,0.0,53.01,296.32,264.19
9,0.0,59.68,242.22,264.44
10,0.0,59.81,148.98,263.75

1,50.39,178.59,451.43,312.54
2,16.95,134.4,365.66,257.52
3,6.69,84.89,223.99,239.87
4,7.07,58.02,165.34,218.91
5,6.66,61.62,203.44,235.4
6,6.8,55.28,156.77,192.63
7,5.05,25.32,130.19,186.83
8,7.05,10.01,76.47,211.42
9,6.11,22.94,162.12,229.24
10,15.57,6.93,120.23,235.22

1,64.63,214.21,425.42,300.52
2,2.35,81.8,319.41,222.43
3,3.43,29.14,202.74,212.08
4,0.04,20.02,245.26,211.15
5,5.9,25.72,201.68,227.34
6,0.0,30.55,220.96,227.82
7,3.03,6.98,173.99,242.1
8,6.12,0.0,182.72,253.81
9,0.0,4.95,146.15,252.76
10,0.0,0.0,126.99,275.31

1,75.09,193.81,381.29,288.2
2,9.83,75.94,258.39,204.24
3,4.42,71.1,209.6,216.28
4,2.88,86.68,209.23,215.35
5,1.65,45.24,184.3,190.64
6,0.74,41.35,116.75,196.52
7,1.61,26.38,97.98,198.3
8,4.46,22.0,131.42,228.33
9,2.41,21.95,101.82,211.98
10,1.93,12.17,69.74,208.23

1,66.87,149.21,396.6,288.52
2,17.05,154.68,287.85,232.41
3,13.84,128.07,271.33,233.51
4,9.32,91.25,256.72,237.12
5,3.46,85.81,210.63,219.76
6,2.32,72.23,189.81,215.32
7,4.61,66.96,217.61,204.6
8,4.79,52.75,172.13,219.9
9,3.63,62.54,161.71,247.19
10,2.29,61.97,168.95,261.21

1,68.26,184.8,407.57,287.47
2,8.67,113.74,406.37,261.98
3,3.39,86.11,293.99,232.43
4,6.93,53.71,227.02,229.44
5,7.45,45.18,216.01,234.07
6,11.31,54.17,216.19,267.85
7,9.73,72.71,171.72,271.82
8,6.45,31.83,139.5,300.96
9,3.31,28.47,168.24,296.09
10,3.77,38.98,111.24,290.75

1,38.55,194.9,425.95,310.33
2,12.65,138.15,403.19,287.75
