Generation,Time A,Time B,Time C,Distance
4,0.0,73.47,87.32,185.51
5,7.67,21.18,55.65,216.53
6,2.79,44.38,45.5,223.55
7,1.29,33.82,33.63,239.82
8,1.2,22.06,20.02,263.36
9,7.31,6.07,22.67,285.15
10,4.66,8.88,28.37,284.47

1,122.21,250.43,221.4,244.94
2,14.92,126.34,121.06,180.38
3,6.1,36.17,91.81,168.91
4,4.75,42.9,86.23,186.54
5,3.08,36.03,54.33,187.49
6,4.14,30.01,80.88,197.65
7,3.17,33.9,93.32,199.75
8,1.18,37.07,67.0,205.83
9,5.12,49.95,57.44,223.61
10,2.25,43.56,48.5,228.14

1,139.76,213.58,238.75,287.74
2,25.4,110.59,199.49,227.41
3,9.46,96.71,156.59,224.49
4,4.46,77.84,131.85,216.66
5,5.51,83.03,88.06,223.32
6,5.21,58.37,55.42,232.83
7,8.73,41.2,44.7,244.86
8,0.0,21.66,28.84,251.86
9,0.0,20.96,18.56,282.89
10,0.0,28.21,32.16,293.94

1,120.82,227.79,206.03,242.13
2,32.27,116.07,91.86,148.74
3,21.36,90.69,82.63,169.0
4,2.7,47.29,70.58,183.59
5,0.0,34.32,76.73,200.02
6,3.04,10.01,84.62,214.46
7,2.09,15.73,100.3,223.91
8,14.15,28.51,81.1,234.77
9,24.75,28.04,93.71,233.44
10,7.06,36.87,69.99,257.29

1,90.03,272.44,259.2,287.73
2,18.0,103.44,204.23,181.25
3,19.3,43.52,143.6,182.01
4,8.3,65.46,107.16,184.04
5,9.19,28.22,97.18,236.22
6,7.71,60.37,119.74,238.84
7,5.16,63.66,105.46,225.07
8,7.92,25.21,122.6,237.07
9,2.36,37.7,136.4,254.84
10,2.7,40.52,101.35,253.79

1,143.58,227.44,208.18,275.91
2,11.89,91.69,130.08,194.61
3,5.07,77.98,103.23,210.32
4,4.87,52.43,76.32,213.8
5,7.87,29.58,63.56,228.82
6,0.0,12.23,70.13,229.06
7,0.0,9.84,70.85,232.81
8,0.0,10.63,38.75,237.23
9,0.0,0.0,52.23,236.81
10,0.0,0.0,55.48,262.99

1,104.45,221.98,296.13,275.56
2,20.83,111.01,237.91,225.92
3,20.52,92.2,221.14,220.92
4,22.28,122.98,132.61,234.95
5,9.9,99.69,106.76,225.06
6,7.51,80.7,59.01,236.69
7,8.5,88.96,43.96,235.72
8,2.7,63.77,48.62,231.93
9,6.97,69.18,56.54,240.24
10,6.39,69.79,48.3,243.17

1,102.95,257.8,218.85,296.9
2,37.92,152.19,157.63,184.79
3,17.09,86.06,196.05,192.05
4,7.35,84.83,117.32,185.49
5,8.68,74.33,65.8,188.79
6,3.23,71.35,65.04,236.6
7,2.49,58.86,68.19,247.18
8,3.7,59.09,62.26,267.35
9,10.36,60.14,67.64,278.54
10,10.38,59.38,78.89,262.13
