Generation,Time A,Time B,Time C,Distance
6,1.55,32.09,37.29,236.63
7,4.27,24.7,20.02,234.34
8,0.34,26.11,20.02,238.13
9,4.19,10.01,20.02,246.57
10,0.0,10.01,20.02,248.37

1,245.25,157.76,75.74,221.64
2,25.46,69.34,22.96,165.55
3,12.39,58.26,11.33,198.49
4,16.98,49.15,39.21,198.46
5,18.58,37.89,10.01,221.11
6,8.16,29.63,2.57,230.24
7,7.87,9.01,9.18,222.79
8,0.0,0.0,0.0,235.92
9,0.0,0.0,0.0,248.45
10,1.25,0.0,0.0,252.69

1,270.79,178.36,73.02,248.21
2,77.27,121.72,47.44,158.98
3,16.9,12.78,30.03,160.93
4,8.03,10.01,30.03,181.83
5,8.5,10.01,30.03,221.01
6,6.05,10.01,30.03,235.88
7,8.83,10.01,30.03,252.96
8,6.89,10.01,30.03,267.21
9,6.28,10.01,30.03,274.9
10,6.96,10.01,30.03,279.1

1,280.53,210.83,54.29,236.45
2,47.01,80.22,7.89,151.31
3,13.1,67.98,0.0,183.97
4,13.08,50.62,0.0,190.09
5,7.62,21.94,0.0,203.33
6,14.15,20.02,0.0,219.59
7,16.28,20.02,0.0,244.69
8,14.87,20.02,0.0,253.52
9,7.95,20.02,0.0,242.91
10,6.93,20.02,0.0,263.34

1,236.44,164.67,61.08,238.33
2,36.5,86.97,67.95,186.15
3,22.61,55.63,38.97,185.19
4,16.3,43.77,28.33,174.88
5,15.69,28.78,16.6,169.76
6,11.48,10.01,16.86,169.59
7,4.51,10.01,11.5,195.37
8,3.79,10.01,13.49,206.77
9,1.17,10.01,4.81,223.36
10,2.38,10.01,18.23,227.0

1,247.59,175.82,74.3,239.88
2,27.09,86.81,25.47,168.45
3,28.62,43.18,10.01,195.36
4,13.58,31.08,10.01,202.26
5,14.32,49.11,10.01,210.94
6,10.85,45.1,10.01,208.15
7,8.28,0.0,10.01,242.33
8,6.27,0.0,10.01,245.44
9,0.0,0.0,10.01,256.33
10,0.0,0.0,10.01,245.07

1,250.95,203.34,64.4,230.59
2,39.62,40.18,28.72,165.84
3,6.09,44.69,20.02,187.29
4,22.82,12.4,20.02,199.57
5,13.8,11.7,20.02,204.92
6,0.0,0.0,20.02,201.82
7,0.0,0.0,20.02,230.37
8,0.0,0.0,20.02,230.87
9,0.0,0.0,20.02,226.39
10,0.0,0.0,20.02,241.2

1,228.94,164.19,79.36,255.2
2,58.71,50.84,46.18,181.29
3,32.05,21.78,34.25,209.14
4,22.23,26.91,53.8,235.67
5,13.18,37.5,39.08,243.74
6,32.9,28.92,0.0,220.14
7,10.49,27.65,0.0,244.72
8,11.14,30.28,0.0,258.74
9,10.46,22.43,0.0,263.16
10,10.94,12.97,0.0,258.62

1,265.8,182.65,42.51,249.92
2,32.5,74.66,58.51,160.58
3,17.18,22.86,31.57,180.85
4,16.9,20.02,31.96,179.09
5,0.0,20.53,5.34,188.77
6,7.44,23.0,0.0,195.3
7,0.0,10.01,0.0,201.04
8,0.0,10.01,0.0,210.62
9,0.0,10.01,0.0,235.49
10,0.0,10.01,0.0,259.16
