Generation,Time A,Time B,Time C,Distance
1,272.23,172.08,24.83,234.28
2,48.54,77.16,40.73,150.71
3,31.33,5.54,46.71,176.06
4,35.26,0.0,17.88,201.82
5,29.44,0.0,0.0,222.86
6,35.71,0.0,0.0,243.68
7,28.67,0.0,0.0,253.62
8,22.96,0.0,0.0,241.42
9,23.96,0.0,0.0,218.41
10,22.06,0.0,0.0,239.53

1,246.27,194.5,50.97,224.46
2,65.27,66.71,63.39,146.16
3,17.62,29.01,46.99,157.6
4,8.88,19.48,38.33,158.4
5,7.68,7.6,30.03,161.9
6,6.68,0.0,29.1,203.27
7,15.09,0.0,29.74,204.3
8,6.34,0.0,38.31,210.93
9,13.32,0.0,28.74,224.06
10,13.01,0.0,27.51,231.69

1,255.75,208.79,69.18,247.96
2,33.59,53.52,31.34,153.49
3,18.91,19.02,38.38,196.82
4,26.67,38.48,39.16,212.04
5,32.55,23.74,23.7,201.15
6,16.29,27.59,25.58,176.97
7,7.49,22.59,0.0,214.99
8,0.0,17.17,0.0,238.35
9,3.01,17.94,0.0,236.53
10,0.69,4.76,0.0,216.71

1,242.2,173.95,79.39,269.72
2,73.09,71.27,42.76,181.87
3,46.24,32.22,45.31,156.37
4,33.97,27.04,29.0,143.86
5,21.4,10.65,10.01,151.51
6,21.64,13.1,10.01,173.85
7,28.32,9.47,10.01,179.15
8,21.34,0.0,10.01,191.03
9,16.64,0.0,10.01,220.63
10,23.67,0.0,10.01,240.14

1,254.46,181.34,74.59,211.32
2,33.7,81.48,47.53,135.25
3,40.84,32.19,39.8,143.04
4,37.37,11.98,17.52,143.39
5,22.47,0.0,17.79,172.33
6,28.86,0.0,25.32,208.3
7,14.25,0.0,1.89,232.97
8,13.83,0.0,0.0,236.21
9,10.26,0.0,0.0,246.98
10,11.31,0.0,0.0,250.04

1,276.69,174.4,71.4,217.26
2,21.33,55.86,25.57,141.36
3,13.5,38.7,46.28,175.8
4,0.0,17.64,18.14,192.53
5,9.02,0.56,10.02,212.09
6,6.51,0.0,17.01,219.04
7,9.44,0.0,20.02,228.36
8,12.83,0.0,20.02,232.48
9,6.09,0.0,20.02,211.73
10,2.5,0.0,16.26,201.84

1,253.37,194.68,62.91,227.12
2,34.05,83.9,13.29,153.11
3,23.37,24.76,0.0,202.98
4,7.62,13.09,11.12,228.62
5,7.39,9.69,24.92,211.12
6,10.14,0.0,1.89,186.21
7,6.99,0.0,0.0,228.79
8,9.4,0.0,0.0,227.89
9,6.54,0.0,0.0,225.2
10,7.01,0.0,0.0,218.41

1,256.32,197.39,62.08,196.7
