Generation,Time A,Time B,Time C,Distance
1,84.97,228.13,225.63,284.62
2,45.2,127.34,167.01,228.76
3,9.66,116.5,170.27,215.52
4,17.88,92.42,129.36,205.22
5,13.48,73.78,114.33,188.07
6,6.32,71.24,70.53,168.34
7,5.04,55.53,75.85,181.22
8,3.46,32.4,32.65,164.06
9,2.47,16.93,19.13,148.24
10,7.26,10.01,20.02,164.12

1,89.07,254.96,279.26,288.33
2,35.1,100.65,211.72,227.57
3,14.53,75.85,176.88,226.02
4,10.53,62.56,147.62,189.61
5,24.22,44.15,118.15,185.15
6,3.39,32.39,94.58,188.07
7,4.49,27.05,20.88,159.97
8,6.47,10.87,0.0,187.36
9,1.85,10.01,0.0,187.11
10,0.0,10.01,0.0,189.3

1,113.13,222.7,218.61,281.44
2,41.72,149.01,166.42,201.04
3,21.37,79.7,129.52,203.3
4,3.23,87.71,96.99,225.67
5,6.65,83.44,104.69,262.07
6,1.88,107.76,101.97,270.33
7,2.01,99.82,112.43,263.99
8,2.36,89.34,101.03,249.04
9,3.8,96.08,102.72,293.6
10,5.32,80.66,103.43,300.66

1,97.96,291.14,215.16,298.93
2,14.73,171.89,290.29,240.27
3,10.24,80.47,190.01,226.87
4,12.69,84.86,170.23,210.33
5,5.37,60.57,72.23,187.27
6,7.35,46.86,53.39,191.48
7,14.79,35.52,20.53,209.84
8,1.44,24.7,19.64,209.7
9,0.0,0.0,19.77,237.86
10,0.0,0.0,6.8,243.59

1,137.23,229.14,228.72,269.9
2,28.95,127.27,218.61,184.44
3,17.76,100.77,108.22,215.27
4,8.88,89.04,100.37,207.08
5,11.91,74.01,82.33,229.96
6,15.47,89.3,101.99,232.34
7,13.6,62.02,41.99,230.91
8,11.62,61.11,46.91,226.28
9,11.9,47.13,33.43,234.43
10,15.36,33.61,15.66,250.91

1,128.52,231.12,227.14,261.97
2,38.33,172.77,168.52,213.68
3,12.96,102.47,177.88,210.48
4,4.48,56.17,123.5,205.7
5,0.0,38.51,103.47,224.27
6,0.0,22.47,107.41,222.09
7,4.72,25.66,105.98,220.84
8,2.37,10.01,96.15,246.34
9,0.0,10.01,96.04,255.44
10,0.0,10.01,63.1,273.48

1,110.06,258.09,213.63,305.12
2,31.0,102.51,199.02,186.1
3,11.99,101.3,203.27,194.37
4,13.75,122.6,136.42,185.82
5,6.47,109.16,87.0,195.7
6,19.73,64.45,54.86,207.51
7,6.45,43.31,62.2,210.26
8,14.23,45.67,68.95,217.25
9,16.11,59.79,26.21,220.82
10,8.88,58.41,23.62,247.37

1,104.21,274.45,225.1,286.3
2,25.02,174.27,203.39,198.54
3,29.33,118.28,168.54,186.42
4,14.82,81.53,141.9,215.95
5,10.0,92.99,133.41,240.11
6,5.51,90.05,143.65,249.12
7,4.8,102.5,162.58,260.26
8,2.39,90.18,140.78,296.36
9,1.11,68.57,129.24,261.22
10,1.43,76.47,122.42,241.89

1,137.28,221.86,256.44,282.25
2,15.47,137.61,144.99,210.05
3,10.05,78.07,158.4,221.4
4,12.8,69.31,235.49,243.71
5,6.48,63.7,194.65,247.69
6,5.96,47.53,152.02,284.04
7,6.45,45.94,181.31,307.28
8,7.97,46.92,150.25,297.7
9,2.32,53.43,133.82,333.23
10,0.0,41.67,129.25,302.32

1,110.38,226.36,256.96,264.32
2,20.85,129.16,158.1,195.02
3,10.67,84.61,142.83,210.94
4,0.04,95.88,144.29,249.05
5,12.29,72.69,151.6,226.88
6,27.57,59.73,59.08,222.13
7,17.48,63.99,59.61,228.49
8,5.66,55.51,73.59,267.25
9,10.38,55.4,83.34,284.31
10,13.71,46.06,97.88,292.06

1,122.26,238.36,187.92,260.59
2,13.0,99.2,170.38,199.99
3,3.3,93.59,200.67,227.13
4,7.4,69.08,142.25,229.03
5,20.26,65.29,85.2,222.97
6,13.06,52.21,72.42,203.97
7,3.41,25.77,25.31,185.05
8,3.92,12.06,38.06,185.69
9,1.42,5.2,33.13,173.98
10,12.86,9.17,10.85,160.11

1,122.61,249.66,200.34,294.97
2,15.8,178.24,215.88,238.75
3,11.79,134.52,134.36,205.85
4,0.05,89.58,116.3,234.34
5,0.0,69.56,136.54,219.88
6,0.0,70.91,76.88,246.02
7,1.89,71.75,66.6,232.9
8,6.16,77.76,63.94,240.85
9,0.0,71.09,54.19,245.95
10,0.0,53.03,26.93,256.75

1,121.32,237.25,240.73,296.67
2,29.32,137.32,248.96,237.18
3,33.98,89.2,204.85,221.72
4,17.28,139.97,146.07,236.47
5,16.37,92.09,160.82,217.2
6,0.0,73.69,156.84,214.19
7,0.0,66.28,124.34,231.07
8,0.0,90.53,116.14,264.29
9,0.0,69.13,127.72,271.78
10,0.0,56.39,95.65,283.35

1,117.82,268.79,272.97,283.06
2,17.47,191.87,228.27,252.5
3,21.1,173.12,169.44,246.36
4,16.03,132.79,105.37,217.42
5,16.09,123.52,70.44,206.6
6,22.33,110.63,92.85,219.84
7,12.51,71.16,71.56,205.12
8,10.52,69.33,40.06,204.61
9,10.62,72.08,43.86,215.01
10,8.53,70.39,35.73,234.66

1,113.54,203.65,289.94,254.07
2,19.08,79.85,163.07,198.63
